,song_name,tempo,total_beats,chroma_stft_std,chroma_cq_std,chroma_cens_std,melspectrogram_std,mfcc_std,mfcc_delta_std,rmse_std,cent_std,spec_bw_std,contrast_std,rolloff_std,poly_std,tonnetz_std,zcr_std,harm_std,perc_std,frame_std
1,Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video].mp3,0.0,0,0.0,0.0,0.0,0.0,246.57656011875906,5.0682877978230805e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,Hooked - Why Don't We [Official Music Video].mp3,129.19921875,5,0.24173827386582514,0.24205008573612197,0.11948162844315693,0.04052692169417615,123.69931400781925,4.5818658325353825,0.00333023420535028,1104.1052791686097,312.6769464753825,6.801174234574836,1454.9843840852227,0.09914927881120074,0.06198451815096915,0.015941669961431947,0.0040245624259114265,0.0025105467066168785,0.31216323157187686
3,OutKast -- Hey Ya lyrics.mp3,0.0,0,0.0,0.0,0.0,0.0,246.57656011875906,5.0682877978230805e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,Austin Brown - In Betweenin' (Official Lyric Video).mp3,123.046875,18,0.2601368687306728,0.25354453585778536,0.07410730492538131,7.3630345420810315,102.70752310966688,5.653283283540069,0.05215437710285187,1815.3280706966232,677.3499883197647,7.451251620009911,2583.7588560197078,0.99307518497547,0.05824749769239855,0.1824014756692254,0.005963915027678013,0.054080478847026825,0.19914486255774835
5,Alesso - REMEDY (Official Music Video).mp3,161.4990234375,28,0.3282942173769572,0.2945115066412022,0.09505379901853957,1.787933434274197,112.79885891974004,6.495155644225602,0.02672906219959259,1690.3996390634024,1215.994192315103,6.023297850714896,2678.419576211364,0.6889848580352657,0.07115996688050366,0.03339458744084478,0.022806914523243904,0.020042939111590385,0.15206657512693744
6,SHAUN feat. Conor Maynard - Way Back Home (Lyrics) Sam Feldt Edit.mp3,215.33203125,48,0.3437771735467697,0.2736684030005445,0.07858433841755125,97.2325293605551,90.32348196299648,4.791614904917366,0.15920141339302063,1245.8880637848981,707.9262002205215,6.803158350105095,2331.59453299698,2.3503389866136173,0.05642065815931198,0.10741549787501074,0.1562158763408661,0.08467346429824829,0.15092970521541949
7,Foster The People - Pumped up Kicks (Official Music Video).mp3,92.28515625,15,0.31548561436595296,0.27500595410863415,0.08230367503209711,0.0055568017322638955,175.37141051882398,5.352663660455798,0.001649923506192863,341.73378820508276,365.70407709006963,8.64651571493229,643.9787942126159,0.04960344974118894,0.07308022377361093,0.04396724801509969,0.0014160386053845286,0.0013701616553589702,0.0
8,Bob Sinclar - Love Generation.mp3,80.74951171875,8,0.28088367375292217,0.31002690655458437,0.19121271930722838,1.15955441357749,73.81640973741493,8.125237663156636,0.016430091112852097,1093.1687949031204,614.8964810149153,8.602350119967303,1900.8388401272273,0.3635454689723393,0.053742089959028676,0.11150439625558374,0.03795203939080238,0.012407703325152397,0.0
9,JENNIE - 'SOLO' MV.mp3,0.0,0,0.0,0.0,0.0,0.0,246.57656011875906,5.0682877978230805e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,Feist - 1234.mp3,234.90767045454547,47,0.22132395756355794,0.3134705080850584,0.1168916934567954,0.0008628868453623899,209.75365646156035,6.36776802799117,0.0006141162011772394,828.5204678757706,935.3004115564985,5.51521098074085,1416.8763104544194,0.011063652342805517,0.07093301338664988,0.037298455047218446,0.0006044114124961197,0.0002681803307496011,0.0
11,Duffy - Mercy.mp3,198.76802884615384,22,0.26083656390613097,0.32076076726769676,0.10478261139900306,2.5884899035234583,137.44401811733178,6.3276896336272,0.03128082677721977,930.2042679599889,974.0251652217603,6.588420509287022,2130.171596885156,0.5921120733192596,0.06475665016000445,0.03528016690534821,0.015069689601659775,0.02784496359527111,0.0
12,Weezer - Island In The Sun.mp3,143.5546875,22,0.3370664380983289,0.29577845788017537,0.08016201423445582,0.6192506034279647,160.29298884228845,9.636699210357376,0.019943105056881905,1348.2480447048265,1140.5324427188395,5.437894070516629,2675.294668943941,0.4928514652767452,0.06926754734802305,0.09496625268916263,7.870006584198563e-07,0.019759319722652435,0.0
13,Queen - You're My Best Friend (Official Video).mp3,0.0,0,0.0,0.0,0.0,0.0,246.57656011875906,5.0682877978230805e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,Feist - Mushaboom.mp3,215.33203125,46,0.24376195957197494,0.25305568833622666,0.058958475116185766,1.3128778861487065,131.5903623912051,6.307771747170331,0.01992502436041832,1855.4928067911205,645.5957854101509,7.483521297466955,2962.257770627196,0.36330350938301115,0.053692388698858555,0.09765436028788088,0.013627581298351288,0.014128212817013264,0.0
15,"NOTD, Felix Jaehn - So Close (ft. Georgia Ku & Captain Cuts) [OFFICIAL MUSIC VIDEO].mp3",151.99908088235293,33,0.3212900974678511,0.3049306843964452,0.12258820524290837,5.743373953575295,109.07790732977995,5.867784669009957,0.039957623928785324,637.6918856995133,970.6299505613864,5.7124358704283305,1306.3748180429695,0.8000066525888958,0.07684679773330946,0.022754533630712736,0.03461798280477524,0.023571686819195747,0.0
16,"Sigala, HRVY, Nina Nesbitt - Somebody (Lyric Video).mp3",129.19921875,23,0.3142064585233074,0.3219809337639154,0.16228629975840697,22.63630715786341,75.8187502383157,8.002131608334908,0.057792410254478455,1040.2761296726692,861.3470434256283,7.820048325910388,2187.901782825539,1.5786359119618918,0.1140641165802447,0.041576424882193895,0.08415805548429489,0.06799240410327911,0.2566409056645742
