song_name,Mood,tempo,total_beats,chroma_stft_std,chroma_cq_std,chroma_cens_std,melspectrogram_std,mfcc_std,mfcc_delta_std,rmse_std,cent_std,spec_bw_std,contrast_std,rolloff_std,poly_std,tonnetz_std,zcr_std,harm_std,perc_std,frame_std
Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video].mp3,Happy,75.99954044117646,217797,0.3080677166426125,0.2908575365542442,0.12292458121921372,131.152866785273,41.59488323996569,3.1216858305263657,0.11831116676330566,1069.7315078292343,691.3849348422033,6.848021025463049,2070.1723423150506,2.3957397189356993,0.07630066701387235,0.07129563912731919,0.12995363771915436,0.1416132003068924,2.8129082322340997
Hooked - Why Don't We [Official Music Video].mp3,Happy,89.10290948275862,250990,0.3084169722413736,0.285889010202476,0.15595964237338805,88.32226653257945,39.27976100105118,3.576841747746981,0.09627361595630646,1152.1584172463988,644.077986490428,7.422133007857971,2263.639536707043,2.790416361737842,0.0854909164433959,0.07145275993439051,0.18710735440254211,0.10035690665245056,2.597077969220152
OutKast -- Hey Ya lyrics.mp3,Happy,161.4990234375,458694,0.2923158267713377,0.26855178573722716,0.12448766408768261,104.53357115834699,34.98136114643068,3.0085370345994886,0.1011761873960495,530.1467835557047,448.6243548943426,7.127753797171053,1215.2189246872706,5.292104996949144,0.0641069269417558,0.02968608707625483,0.2073148488998413,0.18277645111083984,1.5390727368452215
Austin Brown - In Betweenin' (Official Lyric Video).mp3,Happy,143.5546875,420474,0.30482683958366097,0.2867243730672495,0.1480796874563867,132.63072816633752,35.75531999716586,3.230393537061628,0.10219436883926392,896.4602001085165,639.7606349344325,7.279422045076626,2134.8149606324105,3.9667577710782047,0.08443009115130648,0.05317645091313945,0.25308114290237427,0.12970119714736938,1.0551700282534227
Alesso - REMEDY (Official Music Video).mp3,Happy,161.4990234375,462528,0.30230749997354694,0.2473864701466773,0.09421311543239119,50.345295127090175,55.44808807481245,2.640110022159276,0.08472402393817902,870.9810979146595,748.2819595802675,8.65850950316794,2061.0605953525696,1.8936893395957242,0.06287023082700886,0.05335034172371573,0.09394410252571106,0.08369216322898865,6.134048868907383
SHAUN feat. Conor Maynard - Way Back Home (Lyrics) Sam Feldt Edit.mp3,Happy,107.666015625,305133,0.3060257321634884,0.2894464092585258,0.15016037065760238,154.51689819201343,30.5877375800847,3.1301195413896723,0.10838082432746887,775.3427677565437,433.41176198622554,6.119313625998772,1725.4515696963563,3.3972121134852418,0.08400078009200138,0.045254407976487616,0.26693546772003174,0.10783298313617706,1.2362003788709197
Foster The People - Pumped up Kicks (Official Music Video).mp3,Happy,129.19921875,356800,0.2938654238105343,0.2674997344834344,0.11905009414953731,5.888244597700384,63.19340850059067,3.729228430900321,0.026807453483343124,532.6075457852386,605.2913437816454,7.437910423255033,1438.4557887187193,0.9185751287775363,0.0616482955462344,0.033359795899889216,0.04690989851951599,0.029860714450478554,2.3176550816978083
Bob Sinclar - Love Generation.mp3,Happy,129.19921875,370688,0.29806392828420825,0.2659667599887536,0.1130174681567538,94.71204626872048,27.85566681503689,2.3961967464689065,0.08831258118152618,838.4667066933786,320.4972852926723,5.975375581865855,1420.1663846819597,2.697873930251544,0.057107617877226464,0.07135497114201043,0.1429303139448166,0.13395187258720398,1.1814707904234771
JENNIE - 'SOLO' MV.mp3,Happy,95.703125,271633,0.31313621249761914,0.30266592846242707,0.16215675241303346,157.7175526117977,43.1914065812017,3.5460677331576056,0.1380842924118042,1313.319935814933,692.85854585398,7.028549483202724,2183.5087502828546,2.8905770800926205,0.09220864057318158,0.1090904992712894,0.1961686760187149,0.0938071757555008,1.3405271169470254
Feist - 1234.mp3,Happy,112.34714673913044,313754,0.3014082186748089,0.27229384444186777,0.13882722890413393,2.4316585358640426,73.8993350474685,2.69988155251619,0.0194344911724329,777.0237646420188,530.8052194762411,6.653218797690548,1825.5404278346368,0.5473830928989121,0.06958936459042424,0.043329970589780865,0.030049609020352364,0.01922569051384926,2.6837674912518463
Duffy - Mercy.mp3,Happy,129.19921875,375174,0.2991431821044956,0.27501948483650246,0.1258068336013179,9.74116429614901,54.4179534351154,3.395574646995181,0.030100539326667786,761.56192284495,615.3470508096888,6.891184468545146,1804.0021383485473,1.2680841078460505,0.059212851118200946,0.04242332660675699,0.06281338632106781,0.04576615244150162,2.123709225712409
Weezer - Island In The Sun.mp3,Happy,112.34714673913044,320004,0.28837909395042216,0.28185928682519623,0.1437554166974222,92.66330738879637,34.59509347357579,3.172373980652648,0.08330872654914856,706.2494945809012,553.9800810736305,6.915658165499459,1654.1295147413973,3.478701537775405,0.07890801892940996,0.03841965037255143,0.22054801881313324,0.10406923294067383,1.7066030870351268
Queen - You're My Best Friend (Official Video).mp3,Happy,117.45383522727273,336190,0.30014378804145453,0.2805389755048972,0.12339344514022246,11.852535315848693,59.04690359328156,2.3458054625794813,0.03925418481230736,983.4435228949388,689.1366376720204,7.768384409813819,1738.4130159867839,1.234954940438088,0.06149934887757813,0.08927359435153479,0.05974142998456955,0.03900858014822006,2.33979384556871
Feist - Mushaboom.mp3,Happy,172.265625,507480,0.3164704305704608,0.245842202831859,0.09935530393166637,1.796860208324042,71.59996843879719,2.58480785044257,0.020145872607827187,812.4282058140745,443.65547025672345,6.995848094733446,1828.6459456562638,0.5449971916199886,0.056312536949799936,0.05692371003992719,0.026039468124508858,0.014735566452145576,7.145393910209152
