,song_name,tempo,total_beats,chroma_stft_mean,chroma_cq_mean,chroma_cens_mean,melspectrogram_mean,mfcc_mean,mfcc_delta_mean,rmse_mean,cent_mean,spec_bw_mean,contrast_mean,rolloff_mean,poly_mean,tonnetz_mean,zcr_mean,harm_mean,perc_mean,frame_mean
1,Dua Lipa - Homesick (Lyrics).mp3Dua Lipa - Homesick (Lyrics).mp3,83.35433467741936,70,0.30082001742667375,0.2803849106946066,0.15673058487175878,21.710956256171983,95.42241207185397,2.522424554485636,0.051834966987371445,407.0895450566492,528.641045745727,8.994949792096243,1104.2263938531753,0.7037977570299777,0.08560313656560428,0.02042647832340841,0.08194076269865036,0.016492893919348717,1.581302113235107
2,"DJ Khaled - No Brainer (Official Video) ft. Justin Bieber, Chance the Rapper, Quavo.mp3DJ Khaled - No Brainer (Official Video) ft. Justin Bieber, Chance the Rapper, Quavo.mp3",161.4990234375,1053,0.3335563207048679,0.33356623146921727,0.1300731645068583,89.79230595429267,74.18238716752087,3.3304576837808946,0.1056356281042099,1211.7769980453174,997.6864008893313,6.11677201171542,2333.4032276747485,1.576882071708745,0.050871170430561684,0.07263853738713837,0.04872486740350723,0.09190287441015244,1.2610466422064928
3,Sasha - Linepulse.mp3Sasha - Linepulse.mp3,198.76802884615384,1505,0.3014437666042645,0.29140339304859886,0.17689762521454105,0.38278137569782256,134.7681856185413,2.5540393252146685,0.005198618397116661,906.7036119702248,429.53484627281483,6.672638533406881,1473.160034052877,0.07549886027949954,0.07862724808644717,0.051504914530610235,0.012876383028924465,0.0014007695717737079,1.3058899786069562
4,Sasha Sloan - Faking It (Lyric Video).mp3Sasha Sloan - Faking It (Lyric Video).mp3,80.74951171875,592,0.29850105022111467,0.2814241271459933,0.15477636679095266,13.309643569627653,67.61878061732351,3.4068301403042227,0.045687150210142136,1020.8236351891891,809.1266523095907,6.495564315243053,2491.5896099772954,0.9269039384252326,0.09178205173334603,0.06166152943814179,0.0795891210436821,0.022893298417329788,1.4780102767803458
5,Shallou & Emmit Fenn - All Your Days.mp3Shallou & Emmit Fenn - All Your Days.mp3,117.45383522727273,632,0.30822203227010025,0.30581373868451556,0.1958994148012193,19.31446804104584,90.90012672380804,1.4092918667591965,0.05833126977086067,575.1290208723534,578.7902240033654,7.045502157193591,1466.0808384399918,0.6881901019321819,0.12330867113644949,0.10213278105940621,0.07408800721168518,0.010581969283521175,0.7498382747837941
6,Foster The People - Pumped up Kicks (Official Music Video).mp3Foster The People - Pumped up Kicks (Official Music Video).mp3,151.99908088235293,1251,0.30205906696105184,0.2407305944356729,0.0638724344989005,0.5291843879732118,118.95047521628683,2.482311299257212,0.007507686968892813,411.6352778332917,528.1142485426981,8.913866732441548,1009.2380445018821,0.14041251611137454,0.051383828029036994,0.023346768380529646,0.003984988201409578,0.007444556802511215,2.044088830775956
7,Dan Owen - Hand That You Hold [Live Acoustic].mp3Dan Owen - Hand That You Hold [Live Acoustic].mp3,64.599609375,341,0.28462781428363904,0.277729305876248,0.15254198893768192,0.20766086215548582,136.87065685882914,2.958927023500169,0.005386208184063435,442.7156775539402,309.94783147506257,7.235618392120115,769.3187446348543,0.13306592163646985,0.10162108359061926,0.020079566522579213,0.012822787277400494,0.0017906391294673085,1.306984398882071
8,Electric Light Orchestra - Mr. Blue Sky (Official Audio).mp3Electric Light Orchestra - Mr. Blue Sky (Official Audio).mp3,83.35433467741936,523,0.2831956903951747,0.23054782924943365,0.06522606501635028,0.4927607759399379,102.92199885811603,4.371885905215136,0.011308974586427212,537.8500658677843,406.8627991059032,7.603373292788205,800.905972658738,0.3043110773781102,0.0564078146544941,0.05269137404912391,0.010032815858721733,0.009393169544637203,1.3245887351324275
9,Slushii - Find (Lyrics).mp3Slushii - Find (Lyrics).mp3,135.99917763157896,925,0.3000112447903637,0.28283742720706406,0.15166166247817872,4.1945721770525894,104.7571012946892,3.130447145972393,0.03211899846792221,394.31803745760476,407.52468645288906,7.390512893725148,730.6760693611064,0.4417043492487965,0.07151021504595942,0.0349854440975164,0.04223645478487015,0.0028254908975213766,1.9853061224489794
10,Porter Robinson - Sea of Voices (Audio).mp3Porter Robinson - Sea of Voices (Audio).mp3,135.99917763157896,5,0.2949816888906976,0.27794721007152806,0.20024916987237376,0.18384725991997916,98.4104445074771,2.4436251222015506,0.003386847209185362,304.2408556830554,247.4826562523737,6.214714680322023,666.9396684727268,0.08213555522557676,0.09190566721551986,0.031315103771760326,0.009695446118712425,0.0011086954036727548,1.475460946693954
11,flora cash - They Own This Town (Lyric Video).mp3flora cash - They Own This Town (Lyric Video).mp3,21.35524276859504,23,0.2733421615361047,0.2684222114446749,0.17652433072991944,21.64699012224192,94.57197932339122,2.900790624923914,0.06644561886787415,282.07372060640677,241.76462752443925,5.936510779185601,527.1967402034123,0.8315981612533053,0.09418414861261466,0.017085094565720747,0.08629528433084488,0.010374024510383606,1.3931972789115648
12,Pretty Lights - Finally Moving.mp3Pretty Lights - Finally Moving.mp3,99.38401442307692,42,0.3031700267582958,0.2925260819396328,0.14404708826611537,7.94447946624702,80.56829603548596,3.7565555228207237,0.032030340284109116,403.3762908876704,333.9790444335564,7.631695277988812,921.4614038971821,0.8209582024691774,0.10161347094581132,0.02995827774280309,0.058676160871982574,0.023690445348620415,1.35995042327322
